"","time","cellType","name"
"181",3,"EN","41-3"
"182",3,"IPC","42-3"
"183",3,"RG","43-3"
"184",3,"EN","44-3"
"185",3,"EN","45-3"
"186",3,"RG","46-3"
"187",3,"EN","47-3"
"188",3,"RG","48-3"
"189",3,"EN","49-3"
"190",3,"IPC","50-3"
"191",3,"RG","51-3"
"192",3,"MGE","52-3"
"193",3,"MGE","53-3"
"194",3,"OPC","54-3"
"195",3,"RG","55-3"
"196",3,"RG","56-3"
"197",3,"MGE","57-3"
"198",3,"IN","58-3"
"199",3,"MGE","59-3"
"200",3,"MGE","60-3"
"201",3,"MGE","61-3"
"202",3,"MGE","62-3"
"203",3,"RG","63-3"
"204",3,"MGE","64-3"
"205",3,"IPC","65-3"
"206",3,"RG","66-3"
"207",3,"Endothelial","67-3"
"208",3,"Mural","68-3"
"209",3,"IPC","69-3"
"210",3,"RG","70-3"
"211",4,"RG","1-4"
"212",4,"RG","2-4"
"213",4,"RG","3-4"
"214",4,"EN","4-4"
"215",4,"IN","5-4"
"216",4,"IN","6-4"
"217",4,"EN","7-4"
"218",4,"RG","8-4"
"219",4,"IPC","9-4"
"220",4,"RG","10-4"
"221",4,"RG","11-4"
"222",4,"RG","12-4"
"223",4,"EN","13-4"
"224",4,"IPC","14-4"
"225",4,"EN","15-4"
"226",4,"IPC","16-4"
"227",4,"RG","17-4"
"228",4,"OPC","18-4"
"229",4,"IN","19-4"
"230",4,"IPC","20-4"
"231",4,"RG","21-4"
"232",4,"RG","22-4"
"233",4,"RG","23-4"
"234",4,"RG","24-4"
"235",4,"IPC","25-4"
"236",4,"RG","26-4"
"237",4,"RG","27-4"
"238",4,"EN","28-4"
"239",4,"EN","29-4"
"240",4,"EN","30-4"
"241",4,"IN","31-4"
"242",4,"MGE","32-4"
"243",4,"RG","33-4"
"244",4,"IN","34-4"
"245",4,"IN","35-4"
"246",4,"IN","36-4"
"247",4,"OPC","37-4"
"248",4,"Microglia","38-4"
"249",4,"IPC","39-4"
"250",4,"IPC","40-4"
"251",4,"Glyc","41-4"
"252",4,"Mural","42-4"
"253",4,"MGE","43-4"
"254",4,"MGE","44-4"
"255",4,"MGE","45-4"
"256",4,"IN","46-4"
"257",4,"MGE","47-4"
"258",4,"MGE","48-4"
"259",4,"MGE","49-4"
"260",4,"MGE","50-4"
"261",4,"RG","51-4"
"262",4,"EN","52-4"
"263",4,"EN","53-4"
"264",4,"EN","54-4"
"265",4,"EN","55-4"
"266",4,"MGE","56-4"
"267",4,"MGE","57-4"
"268",4,"EN","58-4"
"269",4,"EN","59-4"
"270",4,"RG","60-4"
"271",4,"Endothelial","61-4"
"272",4,"Endothelial","62-4"
"273",4,"RG","63-4"
"274",4,"Microglia","64-4"
"275",4,"IPC","65-4"
"276",4,"EN","66-4"
"277",4,"Glyc","67-4"
"278",4,"Glyc","68-4"
"279",4,"Endothelial","69-4"
"280",4,"Choroid","70-4"
"281",5,"RG","1-5"
"282",5,"EN","2-5"
"283",5,"EN","3-5"
"284",5,"IPC","4-5"
"285",5,"EN","5-5"
"286",5,"IPC","6-5"
"287",5,"IPC","7-5"
"288",5,"IN","8-5"
"289",5,"RG","9-5"
"290",5,"Mural","10-5"
"291",5,"IPC","11-5"
"292",5,"IPC","12-5"
"293",5,"RG","13-5"
"294",5,"IN","14-5"
"295",5,"IPC","15-5"
"296",5,"IN","16-5"
"297",5,"RG","17-5"
"298",5,"NA","18-5"
"299",5,"IPC","19-5"
"300",5,"OPC","20-5"
"301",5,"RG","21-5"
"302",5,"EN","22-5"
"303",5,"Glyc","23-5"
"304",5,"RG","24-5"
"305",5,"RG","25-5"
"306",5,"MGE","26-5"
"307",5,"IN","27-5"
"308",5,"IN","28-5"
"309",5,"IN","29-5"
"310",5,"MGE","30-5"
"311",5,"MGE","31-5"
"312",5,"MGE","32-5"
"313",5,"MGE","33-5"
"314",5,"MGE","34-5"
"315",5,"MGE","35-5"
"316",5,"IN","36-5"
"317",5,"IN","37-5"
"318",5,"MGE","38-5"
"319",5,"MGE","39-5"
"320",5,"MGE","40-5"
"321",5,"MGE","41-5"
"322",5,"EN","42-5"
"323",5,"IN","43-5"
"324",5,"IPC","44-5"
"325",5,"IN","45-5"
"326",5,"IN","46-5"
"327",5,"EN","47-5"
"328",5,"Endothelial","48-5"
"329",5,"RG","49-5"
"330",5,"Glyc","50-5"
"331",5,"RG","51-5"
"332",5,"Microglia","52-5"
"333",5,"EN","53-5"
"334",5,"OPC","54-5"
"335",5,"NA","55-5"
"336",5,"RG","56-5"
"337",5,"IPC","57-5"
"338",5,"RG","58-5"
"339",5,"IPC","59-5"
"340",5,"RG","60-5"
"341",5,"EN","61-5"
"342",5,"NA","62-5"
"343",5,"EN","63-5"
"344",5,"MGE","64-5"
"345",5,"RG","65-5"
"346",5,"Glyc","66-5"
"347",5,"NA","67-5"
"348",5,"NA","68-5"
"349",5,"EN","69-5"
"350",5,"Glyc","70-5"
"351",6,"Glyc","1-6"
"352",6,"RG","2-6"
"353",6,"EN","3-6"
"354",6,"EN","4-6"
"355",6,"EN","5-6"
"356",6,"Astrocyte","6-6"
"357",6,"RG","7-6"
"358",6,"IN","8-6"
"359",6,"IN","9-6"
"360",6,"IN","10-6"
"361",6,"IPC","11-6"
"362",6,"NA","12-6"
"363",6,"IN","13-6"
"364",6,"Astrocyte","14-6"
"365",6,"IN","15-6"
"366",6,"RG","16-6"
"367",6,"RG","17-6"
"368",6,"IN","18-6"
"369",6,"EN","19-6"
"370",6,"IN","20-6"
"371",6,"EN","21-6"
"372",6,"EN","22-6"
"373",6,"EN","23-6"
"374",6,"IN","24-6"
"375",6,"MGE","25-6"
"376",6,"IN","26-6"
"377",6,"IN","27-6"
"378",6,"OPC","28-6"
"379",6,"Endothelial","29-6"
"380",6,"OPC","30-6"
"381",6,"RG","31-6"
"382",6,"NA","32-6"
"383",6,"Astrocyte","33-6"
"384",6,"EN","34-6"
"385",6,"RG","35-6"
"386",6,"OPC","36-6"
"387",6,"RG","37-6"
"388",6,"Astrocyte","38-6"
"389",6,"Mural","39-6"
"390",6,"Endothelial","40-6"
"391",6,"EN","41-6"
"392",6,"Astrocyte","42-6"
"393",6,"EN","43-6"
"394",6,"EN","44-6"
"395",6,"OPC","45-6"
"396",6,"IN","46-6"
"397",6,"Endothelial","47-6"
"398",6,"RG","48-6"
"399",6,"Astrocyte","49-6"
"400",6,"IN","50-6"
"401",6,"Astrocyte","51-6"
"402",6,"NA","52-6"
"403",6,"EN","53-6"
"404",6,"EN","54-6"
"405",6,"NA","55-6"
"406",6,"EN","56-6"
"407",6,"EN","57-6"
"408",6,"IN","58-6"
"409",6,"Astrocyte","59-6"
"410",6,"Glyc","60-6"
"411",6,"EN","61-6"
"412",6,"IN","62-6"
"413",6,"Glyc","63-6"
"414",6,"NA","64-6"
"415",6,"EN","65-6"
"416",6,"EN","66-6"
"417",6,"Astrocyte","67-6"
"418",6,"RG","68-6"
"419",6,"Endothelial","69-6"
"420",6,"EN","70-6"
"421",7,"Microglia","1-7"
"422",7,"Microglia","2-7"
"423",7,"Astrocyte","3-7"
"424",7,"Astrocyte","4-7"
"425",7,"Microglia","5-7"
"426",7,"Microglia","6-7"
"427",7,"Astrocyte","7-7"
"428",7,"RG","8-7"
"429",7,"Astrocyte","9-7"
"430",7,"Astrocyte","10-7"
"431",7,"Microglia","11-7"
"432",7,"Astrocyte","12-7"
"433",7,"NA","13-7"
"434",7,"Astrocyte","14-7"
"435",7,"Astrocyte","15-7"
"436",7,"Microglia","16-7"
"437",7,"Astrocyte","17-7"
"438",7,"Astrocyte","18-7"
"439",7,"Astrocyte","19-7"
"440",7,"Astrocyte","20-7"
"441",7,"OPC","21-7"
"442",7,"OPC","22-7"
"443",7,"Astrocyte","23-7"
"444",7,"Astrocyte","24-7"
"445",7,"NA","25-7"
"446",7,"Astrocyte","26-7"
"447",7,"Mural","27-7"
"448",7,"OPC","28-7"
"449",7,"OPC","29-7"
"450",7,"EN","30-7"
"451",7,"Microglia","31-7"
"452",7,"Microglia","32-7"
"453",7,"OPC","33-7"
"454",7,"OPC","34-7"
"455",7,"Astrocyte","35-7"
"456",7,"Astrocyte","36-7"
"457",7,"Astrocyte","37-7"
"458",7,"OPC","38-7"
"459",7,"IN","39-7"
"460",7,"NA","40-7"
"461",7,"Microglia","41-7"
"462",7,"Microglia","42-7"
"463",7,"Endothelial","43-7"
"464",7,"Astrocyte","44-7"
"465",7,"Endothelial","45-7"
"466",7,"Endothelial","46-7"
"467",7,"Astrocyte","47-7"
"468",7,"Endothelial","48-7"
"469",7,"Microglia","49-7"
"470",7,"Astrocyte","50-7"
"471",7,"Endothelial","51-7"
"472",7,"Microglia","52-7"
"473",7,"Microglia","53-7"
"474",7,"Microglia","54-7"
"475",7,"Microglia","55-7"
"476",7,"Microglia","56-7"
"477",7,"Microglia","57-7"
"478",7,"Microglia","58-7"
"479",7,"NA","59-7"
"480",7,"Microglia","60-7"
"481",7,"Microglia","61-7"
"482",7,"Glyc","62-7"
"483",7,"Endothelial","63-7"
"484",7,"Microglia","64-7"
"485",7,"Microglia","65-7"
"486",7,"Microglia","66-7"
"487",7,"Microglia","67-7"
"488",7,"Endothelial","68-7"
"489",7,"Endothelial","69-7"
"490",7,"Mural","70-7"
